period,borough,property_segment,n,median_sale_price,median_ppsf,ppsf_qoq_change
2019Q1,1,ELEVATOR,2116,1195000.0,943.001443001443,
2019Q2,1,ELEVATOR,3166,1500000.0,1190.4761904761904,0.26243305279265483
2019Q3,1,ELEVATOR,2490,1085000.0,856.5178258222378,-0.2805250263093202
2019Q4,1,ELEVATOR,2295,1125000.0,855.8859649122807,-0.0007377090013865883
2020Q1,1,ELEVATOR,2299,1249000.0,931.8394024276378,0.08874247344754815
2020Q2,1,ELEVATOR,1494,1107664.5,855.0862393989362,-0.08236737234843627
2020Q3,1,ELEVATOR,1360,1124500.0,852.2727272727273,-0.0032903255795422304
2020Q4,1,ELEVATOR,1916,1161250.0,888.9237012987013,0.043003809523809444
2021Q1,1,ELEVATOR,2543,1100000.0,844.1558441558442,-0.05036186691552047
2021Q2,1,ELEVATOR,3865,1255000.0,952.3809523809524,0.1282051282051282
2021Q3,1,ELEVATOR,4413,1155000.0,865.6873032528856,-0.0910283315844701
2021Q4,1,ELEVATOR,3782,1250000.0,944.977702191988,0.09159242447147209
2022Q1,1,ELEVATOR,3610,1295000.0,991.1894273127754,0.04890245030501128
2022Q2,1,ELEVATOR,3911,1325000.0,957.7922077922078,-0.033694083694083665
2022Q3,1,ELEVATOR,3590,1250500.0,919.91341991342,-0.039548022598870025
2022Q4,1,ELEVATOR,2406,1195000.0,912.6984126984128,-0.007843137254901933
2023Q1,1,ELEVATOR,2507,1500000.0,1126.6349583828776,0.2344000413586309
2023Q2,1,ELEVATOR,2678,1253250.0,950.770455667508,-0.15609714700118815
2023Q3,1,ELEVATOR,2796,1185529.0,916.0779589580685,-0.036488824934177155
2023Q4,1,ELEVATOR,2282,1197842.5,845.9142039689432,-0.07659146724687971
2024Q1,1,ELEVATOR,2091,1138000.0,828.4600389863548,-0.020633493208525477
2024Q2,1,ELEVATOR,2707,1250000.0,974.025974025974,0.17570664629488153
2024Q3,1,ELEVATOR,2759,1225000.0,935.0649350649352,-0.039999999999999925
2024Q4,1,ELEVATOR,2478,1200000.0,936.7106458261478,0.0017599962307413008
2019Q1,1,SINGLE_FAMILY,48,4650000.0,1113.0434782608695,
2019Q2,1,SINGLE_FAMILY,86,6850000.0,1813.6574095310175,0.6294578288755237
2019Q3,1,SINGLE_FAMILY,31,2135000.0,711.6666666666666,-0.6076068926100591
2019Q4,1,SINGLE_FAMILY,46,4265000.0,1043.1088664421998,0.46572674441526907
2020Q1,1,SINGLE_FAMILY,42,5650000.0,1219.9665450121654,0.1695486293517816
2020Q2,1,SINGLE_FAMILY,33,6100000.0,1409.1580502215656,0.15507925687217394
2020Q3,1,SINGLE_FAMILY,27,4350000.0,953.2173342087984,-0.32355541377425934
2020Q4,1,SINGLE_FAMILY,44,7500000.0,1686.2898411544852,0.7690507512163121
2021Q1,1,SINGLE_FAMILY,44,4210000.0,1098.3349244287735,-0.34866776895434526
2021Q2,1,SINGLE_FAMILY,78,5635000.0,1344.2796152183312,0.22392503900162297
2021Q3,1,SINGLE_FAMILY,90,6312500.0,1634.7608947961744,0.21608694819839602
2021Q4,1,SINGLE_FAMILY,71,4800000.0,1562.5,-0.04420273021345056
2022Q1,1,SINGLE_FAMILY,77,4200000.0,1191.8951132300358,-0.23718712753277704
2022Q2,1,SINGLE_FAMILY,65,6900000.0,1741.9354838709678,0.461483870967742
2022Q3,1,SINGLE_FAMILY,65,4750000.0,1341.681574239714,-0.22977539256609003
2022Q4,1,SINGLE_FAMILY,41,6000000.0,1803.4265103697023,0.34415389239555116
2023Q1,1,SINGLE_FAMILY,35,5800000.0,1437.5,-0.20290624999999995
2023Q2,1,SINGLE_FAMILY,54,6075000.0,1662.0385870709624,0.15620075622327811
2023Q3,1,SINGLE_FAMILY,42,5575000.0,1352.9890608422056,-0.18594605963595578
2023Q4,1,SINGLE_FAMILY,38,5925000.0,1544.1710785840341,0.14130344677201
2024Q1,1,SINGLE_FAMILY,42,4062000.0,1021.2566521528786,-0.33863762486126525
2024Q2,1,SINGLE_FAMILY,59,5666250.0,1567.5426463808203,0.5349154818980455
2024Q3,1,SINGLE_FAMILY,56,4992500.0,1444.549019607843,-0.07846269896193758
2024Q4,1,SINGLE_FAMILY,54,4837500.0,1221.1677032036314,-0.1546374081959876
2019Q1,1,SMALL_MULTI,228,1047500.0,588.0990728431673,
2019Q2,1,SMALL_MULTI,289,1050000.0,581.7099567099567,-0.01086401327300579
2019Q3,1,SMALL_MULTI,273,875000.0,470.7792207792208,-0.19069767441860463
2019Q4,1,SMALL_MULTI,200,904106.5,485.66017316017314,0.031609195402298784
2020Q1,1,SMALL_MULTI,220,987500.0,521.6450216450216,0.07409470752089131
2020Q2,1,SMALL_MULTI,174,832500.0,456.3314151705654,-0.12520699664397839
2020Q3,1,SMALL_MULTI,155,795000.0,423.4307359307359,-0.0720982122774344
2020Q4,1,SMALL_MULTI,200,1019307.0,591.1796536796537,0.39616613418530355
2021Q1,1,SMALL_MULTI,245,905000.0,489.71861471861473,-0.17162471395881007
2021Q2,1,SMALL_MULTI,390,985000.0,537.0670995670996,0.09668508287292821
2021Q3,1,SMALL_MULTI,479,932000.0,500.5411255411256,-0.06801007556675054
2021Q4,1,SMALL_MULTI,375,1087500.0,579.004329004329,0.1567567567567565
2022Q1,1,SMALL_MULTI,382,991250.0,528.9502164502164,-0.08644859813084105
2022Q2,1,SMALL_MULTI,460,1009750.0,546.4015151515151,0.03299232736572888
2022Q3,1,SMALL_MULTI,380,925000.0,500.5411255411256,-0.08393166625402315
2022Q4,1,SMALL_MULTI,281,1060000.0,551.3404147698533,0.10148874215642034
2023Q1,1,SMALL_MULTI,209,875000.0,473.4848484848485,-0.14121142618849036
2023Q2,1,SMALL_MULTI,286,966169.0,495.39662215718556,0.046277665995975825
2023Q3,1,SMALL_MULTI,301,1193000.0,614.1774891774892,0.23976923076923073
2023Q4,1,SMALL_MULTI,222,982055.0,513.7700216450216,-0.16348281938325993
2024Q1,1,SMALL_MULTI,201,1095000.0,557.3593073593073,0.0848420185644907
2024Q2,1,SMALL_MULTI,281,1140000.0,595.2380952380952,0.06796116504854366
2024Q3,1,SMALL_MULTI,276,1100000.0,595.2380952380952,0.0
2024Q4,1,SMALL_MULTI,250,1112500.0,579.004329004329,-0.027272727272727226
2019Q1,1,WALKUP,186,633750.0,325.3517316017316,
2019Q2,1,WALKUP,423,820000.0,411.2554112554113,0.2640332640332641
2019Q3,1,WALKUP,222,747615.5,395.8958333333333,-0.037348026315789595
2019Q4,1,WALKUP,286,822500.0,373.3766233766234,-0.05688165436626191
2020Q1,1,WALKUP,218,713887.5,362.81854937515317,-0.028277276456111555
2020Q2,1,WALKUP,146,665409.5,305.7359307359307,-0.15733103706392704
2020Q3,1,WALKUP,143,840000.0,409.6320346320346,0.3398230088495575
2020Q4,1,WALKUP,244,1170000.0,404.43341293467245,-0.012690954949438948
2021Q1,1,WALKUP,204,698000.0,344.96753246753246,-0.14703503361811854
2021Q2,1,WALKUP,338,695000.0,367.288961038961,0.06470588235294117
2021Q3,1,WALKUP,368,767500.0,386.228354978355,0.05156537753222845
2021Q4,1,WALKUP,392,990000.0,433.8981331168831,0.12342381786339751
2022Q1,1,WALKUP,306,827500.0,407.19696969696975,-0.06153786195876676
2022Q2,1,WALKUP,365,865000.0,411.2554112554113,0.009966777408637828
2022Q3,1,WALKUP,393,860000.0,424.7229437229437,0.032747368421052414
2022Q4,1,WALKUP,300,585000.0,270.02164502164504,-0.36424050310362743
2023Q1,1,WALKUP,221,835000.0,325.30737704918033,0.20474555668714478
2023Q2,1,WALKUP,298,987500.0,410.961038961039,0.26330070559361896
2023Q3,1,WALKUP,266,852500.0,342.2619047619048,-0.16716702481776424
2023Q4,1,WALKUP,225,750000.0,321.85132259045304,-0.059634396605285134
2024Q1,1,WALKUP,237,650000.0,297.6190476190476,-0.07529027619451589
2024Q2,1,WALKUP,265,999000.0,438.31168831168833,0.4727272727272729
2024Q3,1,WALKUP,261,920000.0,449.1341991341992,0.024691358024691468
2024Q4,1,WALKUP,255,885000.0,427.0833333333333,-0.049096385542168886
2019Q1,2,ELEVATOR,293,207585.0,148.8095238095238,
2019Q2,2,ELEVATOR,351,200000.0,162.33766233766235,0.09090909090909105
2019Q3,2,ELEVATOR,358,220000.0,159.0909090909091,-0.020000000000000018
2019Q4,2,ELEVATOR,293,211907.0,156.92640692640694,-0.013605442176870652
2020Q1,2,ELEVATOR,274,204500.0,142.85714285714286,-0.08965517241379317
2020Q2,2,ELEVATOR,166,226500.0,147.85335497835496,0.034973484848484615
2020Q3,2,ELEVATOR,246,270000.0,203.50185528756958,0.3763763109559557
2020Q4,2,ELEVATOR,598,3785613.0,2048.491883116883,9.066207407407406
2021Q1,2,ELEVATOR,308,240500.0,157.1452922077922,-0.9232873249325803
2021Q2,2,ELEVATOR,353,255000.0,158.2792207792208,0.0072157972758686295
2021Q3,2,ELEVATOR,346,253500.0,162.39069264069263,0.02597606837606814
2021Q4,2,ELEVATOR,332,245000.0,151.5151515151515,-0.06697145599104293
2022Q1,2,ELEVATOR,302,235000.0,161.7965367965368,0.06785714285714306
2022Q2,2,ELEVATOR,419,280000.0,216.4502164502165,0.33779264214046845
2022Q3,2,ELEVATOR,404,282500.0,194.2640692640693,-0.10250000000000004
2022Q4,2,ELEVATOR,273,240000.0,165.04329004329006,-0.1504178272980502
2023Q1,2,ELEVATOR,251,210000.0,154.2207792207792,-0.06557377049180346
2023Q2,2,ELEVATOR,300,239750.0,160.44345238095238,0.040349122807017634
2023Q3,2,ELEVATOR,260,229014.0,157.1969696969697,-0.02023443547122339
2023Q4,2,ELEVATOR,265,225000.0,159.63203463203465,0.015490533562822817
2024Q1,2,ELEVATOR,248,240000.0,173.8365800865801,0.08898305084745761
2024Q2,2,ELEVATOR,412,354375.0,294.84740107095536,0.6961182791568106
2024Q3,2,ELEVATOR,269,235000.0,170.45454545454547,-0.4218889336130679
2024Q4,2,ELEVATOR,310,265000.0,202.92207792207796,0.1904761904761907
2019Q1,2,SINGLE_FAMILY,684,540000.0,271.4442930510429,
2019Q2,2,SINGLE_FAMILY,711,555000.0,277.77777777777777,0.023332539636572447
2019Q3,2,SINGLE_FAMILY,720,550000.0,276.6115258868882,-0.004198506807202351
2019Q4,2,SINGLE_FAMILY,708,578516.0,291.1557101847676,0.052579820205419736
2020Q1,2,SINGLE_FAMILY,668,590000.0,284.80335449163226,-0.02181772663535997
2020Q2,2,SINGLE_FAMILY,375,590000.0,309.375,0.08627582899164787
2020Q3,2,SINGLE_FAMILY,483,590000.0,302.6481715006305,-0.021743284038366117
2020Q4,2,SINGLE_FAMILY,615,625000.0,310.9514370664024,0.027435373306904598
2021Q1,2,SINGLE_FAMILY,651,630000.0,320.15065913371,0.029584111763867327
2021Q2,2,SINGLE_FAMILY,668,652500.0,325.6447453255963,0.017160939811127207
2021Q3,2,SINGLE_FAMILY,706,671600.0,333.8266272575852,0.02512517720440477
2021Q4,2,SINGLE_FAMILY,745,685000.0,345.93437945791726,0.036269581907825366
2022Q1,2,SINGLE_FAMILY,670,700000.0,342.5676732905648,-0.009732210405418829
2022Q2,2,SINGLE_FAMILY,733,700000.0,346.15384615384613,0.010468509269523363
2022Q3,2,SINGLE_FAMILY,644,700500.0,346.4640047733743,0.000896013789748018
2022Q4,2,SINGLE_FAMILY,565,689000.0,344.2307692307692,-0.006445793825150425
2023Q1,2,SINGLE_FAMILY,458,675000.0,335.32117903611646,-0.025882608386700756
2023Q2,2,SINGLE_FAMILY,522,670000.0,344.5759986003445,0.02759986586839247
2023Q3,2,SINGLE_FAMILY,479,694000.0,333.7617823479006,-0.031384125117161155
2023Q4,2,SINGLE_FAMILY,488,707500.0,355.7725812983246,0.06594763125839509
2024Q1,2,SINGLE_FAMILY,441,700000.0,339.5833333333333,-0.04550448465115464
2024Q2,2,SINGLE_FAMILY,500,737500.0,365.7106782106782,0.07693942049770275
2024Q3,2,SINGLE_FAMILY,531,730000.0,367.6470588235294,0.0052948429680133025
2024Q4,2,SINGLE_FAMILY,525,765000.0,369.9397071490095,0.006236003445305949
2019Q1,2,SMALL_MULTI,19,950000.0,178.99543378995435,
2019Q2,2,SMALL_MULTI,6,840000.0,248.4968734968735,0.38828610448508405
2019Q3,2,SMALL_MULTI,3,777839.0,209.52380952380952,-0.15683522864747157
2019Q4,2,SMALL_MULTI,10,837500.0,200.29622628940663,-0.044040738164195625
2020Q1,2,SMALL_MULTI,8,625000.0,245.90861768598086,0.22772466681758252
2020Q2,2,SMALL_MULTI,2,751830.5,227.45156926406926,-0.07505653358387299
2020Q3,2,SMALL_MULTI,9,725238.0,180.22813121272367,-0.20761975045562164
2020Q4,2,SMALL_MULTI,4,419525.0,131.6153673198902,-0.269729057088517
2021Q1,2,SMALL_MULTI,6,812500.0,191.8555300908242,0.457698549930881
2021Q2,2,SMALL_MULTI,11,850000.0,216.66666666666663,0.12932197765733866
2021Q3,2,SMALL_MULTI,6,544000.0,164.27786375972903,-0.24179447495509665
2021Q4,2,SMALL_MULTI,10,767500.0,206.77915243695924,0.25871585924316687
2022Q1,2,SMALL_MULTI,8,925000.0,237.10292652528213,0.14664812062022414
2022Q2,2,SMALL_MULTI,7,750000.0,211.864406779661,-0.10644541640834604
2022Q3,2,SMALL_MULTI,11,360000.0,159.63203463203465,-0.2465367965367965
2022Q4,2,SMALL_MULTI,14,390000.0,211.03896103896102,0.32203389830508455
2023Q1,2,SMALL_MULTI,5,1240000.0,360.9986504723347,0.7105782206996785
2023Q2,2,SMALL_MULTI,11,875000.0,246.15384615384616,-0.31813084112149537
2023Q3,2,SMALL_MULTI,5,1300000.0,320.2247191011236,0.3009129213483146
2023Q4,2,SMALL_MULTI,4,791500.0,174.28300865800867,-0.4557477975241132
2024Q1,2,SMALL_MULTI,6,862500.0,256.8110940976216,0.47352915281348973
2024Q2,2,SMALL_MULTI,6,1017500.0,337.1933621933622,0.31300154060005236
2024Q3,2,SMALL_MULTI,11,1000000.0,210.37868162692848,-0.37608889967920645
2024Q4,2,SMALL_MULTI,4,885000.0,196.1099644536177,-0.06782396896380394
2019Q1,2,WALKUP,82,737500.0,191.15998710346662,
2019Q2,2,WALKUP,111,1025000.0,198.2200647249191,0.036932821185173825
2019Q3,2,WALKUP,76,800000.0,208.18625781943692,0.050278427203363396
2019Q4,2,WALKUP,63,640000.0,198.71794871794876,-0.045479990853671826
2020Q1,2,WALKUP,79,680000.0,162.65060240963857,-0.18150019432568998
2020Q2,2,WALKUP,45,335000.0,143.4967012252592,-0.1177610220965547
2020Q3,2,WALKUP,49,850000.0,228.65853658536585,0.5934759101285594
2020Q4,2,WALKUP,50,687500.0,201.81373867814546,-0.11740124951424391
2021Q1,2,WALKUP,55,800000.0,193.90581717451525,-0.03918425750112997
2021Q2,2,WALKUP,78,835500.0,194.94991196281416,0.005384545979655764
2021Q3,2,WALKUP,88,1167500.0,209.75204410163758,0.07592787290741043
2021Q4,2,WALKUP,82,837500.0,193.84724598930484,-0.07582666562537
2022Q1,2,WALKUP,92,975000.0,200.87242562929063,0.03624080189601142
2022Q2,2,WALKUP,106,1040000.0,182.31249242699624,-0.09239662011423455
2022Q3,2,WALKUP,67,1100000.0,254.1757443718228,0.3941762354743896
2022Q4,2,WALKUP,50,644375.0,207.6830710211953,-0.18291546058232588
2023Q1,2,WALKUP,60,645616.5,170.10214579659026,-0.18095324303428506
2023Q2,2,WALKUP,69,975000.0,232.39350909090908,0.3661997501713319
2023Q3,2,WALKUP,62,895000.0,249.98996754500808,0.07571837321504327
2023Q4,2,WALKUP,42,688543.5,208.93246187363835,-0.16423661347120966
2024Q1,2,WALKUP,50,657500.0,115.66017316017316,-0.44642315453055814
2024Q2,2,WALKUP,64,999500.0,180.9899885880278,0.5648427945666483
2024Q3,2,WALKUP,52,798000.0,168.5146103896104,-0.06892855398103848
2024Q4,2,WALKUP,57,1040000.0,134.03263403263404,-0.20462306667210095
2019Q1,3,ELEVATOR,807,595000.0,388.5281385281385,
2019Q2,3,ELEVATOR,951,716500.0,567.7517032551098,0.4612885064281933
2019Q3,3,ELEVATOR,900,610475.0,471.5909090909091,-0.1693712121212121
2019Q4,3,ELEVATOR,802,600000.0,461.9814480791615,-0.020376688410452815
2020Q1,3,ELEVATOR,858,603000.0,470.1732977042169,0.01773198828462852
2020Q2,3,ELEVATOR,669,690000.0,568.1818181818181,0.20845190689509918
2020Q3,3,ELEVATOR,550,569250.0,385.49131428764565,-0.32153528685374355
2020Q4,3,ELEVATOR,937,659000.0,505.95238095238096,0.3124871098259032
2021Q1,3,ELEVATOR,1083,725000.0,623.9388794567063,0.2331968441026666
2021Q2,3,ELEVATOR,1467,765000.0,637.6811594202899,0.022025041900818332
2021Q3,3,ELEVATOR,1496,753134.5,654.8569907196106,0.02693482635575295
2021Q4,3,ELEVATOR,1635,860000.0,779.644776119403,0.19055730818825856
2022Q1,3,ELEVATOR,1411,750000.0,655.223880597015,-0.15958664680815215
2022Q2,3,ELEVATOR,1609,950000.0,844.4216990788127,0.2887529348127664
2022Q3,3,ELEVATOR,1267,710000.0,556.3966691900075,-0.34109145963801535
2022Q4,3,ELEVATOR,1035,715000.0,604.0697098722645,0.0856817506683829
2023Q1,3,ELEVATOR,736,663431.5,511.7368263919988,-0.15285137124288228
2023Q2,3,ELEVATOR,907,701574.0,585.2712100139082,0.1436957041774063
2023Q3,3,ELEVATOR,945,715000.0,564.3130434782609,-0.03580932425353589
2023Q4,3,ELEVATOR,780,604000.0,424.5912913424206,-0.2475961768925916
2024Q1,3,ELEVATOR,819,675000.0,554.2105263157895,0.30528001307693975
2024Q2,3,ELEVATOR,864,771935.0,683.3115043651194,0.23294573437201027
2024Q3,3,ELEVATOR,898,709072.5,529.4670828685672,-0.22514537003074842
2024Q4,3,ELEVATOR,735,625000.0,443.7229437229437,-0.16194423018910942
2019Q1,3,SINGLE_FAMILY,1429,850000.0,445.973496432212,
2019Q2,3,SINGLE_FAMILY,1607,900000.0,470.5882352941176,0.05519327731092427
2019Q3,3,SINGLE_FAMILY,1537,865000.0,451.2987012987013,-0.040990259740259716
2019Q4,3,SINGLE_FAMILY,1605,888000.0,461.1764705882353,0.0218874312314854
2020Q1,3,SINGLE_FAMILY,1422,910000.0,471.1538461538461,0.021634615384615197
2020Q2,3,SINGLE_FAMILY,806,900000.0,482.41758241758237,0.023906705539358697
2020Q3,3,SINGLE_FAMILY,989,900000.0,455.188679245283,-0.056442601108866564
2020Q4,3,SINGLE_FAMILY,1513,950000.0,509.2592592592592,0.1187871809633465
2021Q1,3,SINGLE_FAMILY,1550,994950.0,523.1481481481482,0.027272727272727337
2021Q2,3,SINGLE_FAMILY,1809,980000.0,526.3157894736842,0.006054960409874077
2021Q3,3,SINGLE_FAMILY,1909,1065000.0,544.3548387096774,0.03427419354838723
2021Q4,3,SINGLE_FAMILY,1903,1045000.0,546.816479400749,0.004522125121375842
2022Q1,3,SINGLE_FAMILY,1760,1070000.0,540.953947368421,-0.010721205839942294
2022Q2,3,SINGLE_FAMILY,1797,1150000.0,562.8834355828221,0.04053854920752764
2022Q3,3,SINGLE_FAMILY,1712,1150000.0,567.4778973208292,0.008162367992317732
2022Q4,3,SINGLE_FAMILY,1317,1050000.0,526.3157894736842,-0.07253517368954665
2023Q1,3,SINGLE_FAMILY,1156,1075000.0,521.4921753262597,-0.009164866880106426
2023Q2,3,SINGLE_FAMILY,1326,1050000.0,541.6666666666666,0.03868608637854476
2023Q3,3,SINGLE_FAMILY,1369,1048798.0,561.8649133293485,0.037289070761874266
2023Q4,3,SINGLE_FAMILY,1249,999000.0,527.7777777777778,-0.060667848699763494
2024Q1,3,SINGLE_FAMILY,1183,1050000.0,533.3333333333334,0.010526315789473717
