borough,property_segment,n,row_share,median_sale_price,median_ppsf,p25_ppsf,p75_ppsf,ppsf_iqr,median_sqft,median_building_age,median_distance_to_center_km,sqft_imputed_rate,year_built_imputed_rate
1,ELEVATOR,65554,0.2218732336685203,1225000.0,928.107683982684,421.8104664769859,1858.076563958917,1436.266097481931,1848.0,65.0,3.0726192762646094,0.9806571681361931,0.08910211428745766
4,SINGLE_FAMILY,51686,0.17493577745661806,799000.0,493.1669637551991,383.4308174546584,615.3846153846154,231.95379792995698,1596.0,90.0,16.548573012807832,0.009248152304299036,0.00021282358859265566
3,SINGLE_FAMILY,35061,0.11866701415095936,995000.0,521.6197666437886,383.92050587172537,704.1666666666666,320.24616079494126,2100.0,100.0,16.525381932661436,0.0010267818944125953,0.0003707823507601038
4,ELEVATOR,27466,0.09296107386184792,410000.0,238.0952380952381,156.92640692640694,739.0648567119156,582.1384497855087,1848.0,64.0,11.93341528796849,0.9911526978810166,0.025995776596519332
5,SINGLE_FAMILY,25962,0.08787065461302321,625000.0,396.9523954733741,320.837400886194,483.71824269007794,162.88084180388392,1531.5,52.0,25.93581337563705,0.0033510515368615668,0.0008088745088976196
3,ELEVATOR,24161,0.08177501294604629,710000.0,586.7215645908389,232.6839826839827,1152.1926053310403,919.5086226470577,1321.0,62.0,12.87934766259514,0.9800918836140888,0.09962335996026654
2,SINGLE_FAMILY,14290,0.04836575203836768,650000.0,323.6607142857143,254.18432203389827,399.59754098360656,145.4132189497083,1995.0,90.0,13.320029511801424,0.018894331700489854,6.997900629811057e-05
3,WALKUP,8694,0.029425601695001302,995000.0,471.46080555555557,276.2605042016807,757.3908025568182,481.13029835513754,1848.0,97.0,12.303600906995896,0.588796871405567,0.062111801242236024
4,WALKUP,8521,0.028840068097895803,336000.0,181.8181818181818,140.69264069264068,328.9665211062591,188.27388041361843,1848.0,75.0,15.114664890949786,0.8223213237882877,0.0386104917263232
2,ELEVATOR,7631,0.025827785430705654,250000.0,175.86580086580088,105.51948051948052,304.66472303207,199.1452425125895,1848.0,71.0,11.97886433465976,0.969335604770017,0.17651683920849168
3,SMALL_MULTI,6799,0.023011808824972838,975000.0,569.3795811518324,281.21949064716125,1070.1944116489572,788.9749210017959,1281.0,20.0,11.429049577242427,0.846300926606854,0.08133549051331078
1,SMALL_MULTI,6757,0.022869656159779594,980000.0,527.5974025974026,344.7143795141169,976.6855702583492,631.9711907442323,1848.0,65.0,2.9616670593318988,0.9495338167825959,0.15317448571851414
1,WALKUP,6562,0.022209661642810966,800500.0,385.6598691570602,219.7903329065301,742.2585646491791,522.468231742649,1848.0,115.0,4.412947245630341,0.6936909478817433,0.01904907040536422
2,WALKUP,1629,0.005513492657137926,850000.0,198.2142857142857,91.991341991342,292.6997245179064,200.70838252656444,3360.0,99.0,10.273582033519704,0.3210558624923266,0.004910988336402701
4,SMALL_MULTI,1627,0.005506723482604913,473538.0,280.0,172.8896103896104,678.8079470198676,505.91833663025716,1848.0,68.0,11.247452063445754,0.7707437000614629,0.09342347879532882
1,SINGLE_FAMILY,1268,0.0042916566539293365,5400000.0,1432.6189130138685,745.3962912087911,2235.865204167476,1490.4689129586848,3744.0,124.0,4.006886556470068,0.003943217665615142,0.0
5,ELEVATOR,960,0.0032492037758455545,305000.0,300.7518796992481,178.57142857142858,382.36109395750566,203.78966538607708,1130.5,46.0,21.48153662589851,0.98125,0.0020833333333333333
5,WALKUP,601,0.002034136947169977,265000.0,199.63144963144964,116.73850574712644,364.40625,247.66774425287355,1848.0,53.0,23.28466423172767,0.7121464226289518,0.0
2,SMALL_MULTI,186,0.0006295332315700762,800000.0,211.33958633958633,142.58658008658008,281.2779997291441,138.691419642564,3408.0,94.0,11.0810053579075,0.2956989247311828,0.0
5,SMALL_MULTI,42,0.000142152665193243,860000.0,224.62962962962962,148.76895828503342,345.23916546023446,196.47020717520104,4300.0,94.0,21.43487329324958,0.047619047619047616,0.0
