segment,period,feature,feature_type,baseline_scope,reference_n,current_n,missing_rate_train,missing_rate_test,psi,ks,cat_tvd,cat_unseen_rate,status
ELEVATOR,2023Q3,days_since_2019_start,numeric,segment,99989,1950,0.0,0.0,12.423844439635532,0.9996099570952804,,,alert
ELEVATOR,2023Q3,month_cos,numeric,segment,99989,1950,0.0,0.0,11.543799136637919,0.632539579353729,,,alert
ELEVATOR,2023Q3,month_sin,numeric,segment,99989,1950,0.0,0.0,10.104376563417798,0.6274090149916491,,,alert
ELEVATOR,2023Q3,rate_regime_bucket,categorical,segment,99989,1950,0.0,0.0,,,0.6094970446749142,0.0,alert
ELEVATOR,2023Q4,days_since_2019_start,numeric,segment,99989,4496,0.0,0.0,11.512817479076105,1.0,,,alert
ELEVATOR,2023Q4,month_cos,numeric,segment,99989,4496,0.0,0.0,9.198847443831598,0.45955055056056165,,,alert
ELEVATOR,2023Q4,month_sin,numeric,segment,99989,4496,0.0,0.0,9.516082954638847,0.7215093660302634,,,alert
ELEVATOR,2023Q4,rate_regime_bucket,categorical,segment,99989,4496,0.0,0.0,,,0.6094970446749142,0.0,alert
ELEVATOR,2024Q1,days_since_2019_start,numeric,segment,99989,4158,0.0,0.0,11.512817479076105,1.0,,,alert
ELEVATOR,2024Q1,month_cos,numeric,segment,99989,4158,0.0,0.0,9.632811202960916,0.6752142735700927,,,alert
ELEVATOR,2024Q1,month_sin,numeric,segment,99989,4158,0.0,0.0,8.234611981175227,0.3725909850083509,,,alert
ELEVATOR,2024Q1,rate_regime_bucket,categorical,segment,99989,4158,0.0,0.0,,,1.0,1.0,alert
ELEVATOR,2024Q2,days_since_2019_start,numeric,segment,99989,5202,0.0,0.0,11.512817479076105,1.0,,,alert
ELEVATOR,2024Q2,month_cos,numeric,segment,99989,5202,0.0,0.0,8.247342092583086,0.3899028893178249,,,alert
ELEVATOR,2024Q2,month_sin,numeric,segment,99989,5202,0.0,0.0,8.061819326264754,0.5465901249137405,,,alert
ELEVATOR,2024Q2,rate_regime_bucket,categorical,segment,99989,5202,0.0,0.0,,,1.0,1.0,alert
ELEVATOR,2024Q3,days_since_2019_start,numeric,segment,99989,5130,0.0,0.0,11.512817479076105,1.0,,,alert
ELEVATOR,2024Q3,month_cos,numeric,segment,99989,5130,0.0,0.0,9.622718120173817,0.632539579353729,,,alert
ELEVATOR,2024Q3,month_sin,numeric,segment,99989,5130,0.0,0.0,8.591718373161427,0.4534098750862595,,,alert
ELEVATOR,2024Q3,rate_regime_bucket,categorical,segment,99989,5130,0.0,0.0,,,1.0,1.0,alert
ELEVATOR,2024Q4,days_since_2019_start,numeric,segment,99989,4847,0.0,0.0,11.512817479076105,1.0,,,alert
ELEVATOR,2024Q4,month_cos,numeric,segment,99989,4847,0.0,0.0,9.202121257509456,0.45955055056056165,,,alert
ELEVATOR,2024Q4,month_sin,numeric,segment,99989,4847,0.0,0.0,9.502613971536817,0.7215093660302634,,,alert
ELEVATOR,2024Q4,rate_regime_bucket,categorical,segment,99989,4847,0.0,0.0,,,1.0,1.0,alert
SINGLE_FAMILY,2023Q3,days_since_2019_start,numeric,segment,103119,1911,0.0,0.0,12.429691360062533,0.9994763331684753,,,alert
SINGLE_FAMILY,2023Q3,month_cos,numeric,segment,103119,1911,0.0,0.0,11.536263355806465,0.6540210824387358,,,alert
SINGLE_FAMILY,2023Q3,month_sin,numeric,segment,103119,1911,0.0,0.0,10.547309736918255,0.6042921285117195,,,alert
