segment,period,feature,n,missing_n,missing_rate
ELEVATOR,2023Q3,borough,1950,0,0.0
ELEVATOR,2023Q3,building_age,1950,0,0.0
ELEVATOR,2023Q3,building_class,1950,0,0.0
ELEVATOR,2023Q3,days_since_2019_start,1950,0,0.0
ELEVATOR,2023Q3,distance_to_center_km,1950,0,0.0
ELEVATOR,2023Q3,gross_square_feet,1950,0,0.0
ELEVATOR,2023Q3,h3_price_lag,1950,0,0.0
ELEVATOR,2023Q3,month_cos,1950,0,0.0
ELEVATOR,2023Q3,month_sin,1950,0,0.0
ELEVATOR,2023Q3,neighborhood,1950,0,0.0
ELEVATOR,2023Q3,property_segment,1950,0,0.0
ELEVATOR,2023Q3,rate_regime_bucket,1950,0,0.0
ELEVATOR,2023Q3,residential_units,1950,1037,0.5317948717948718
ELEVATOR,2023Q3,total_units,1950,1037,0.5317948717948718
ELEVATOR,2023Q3,year_built,1950,0,0.0
ELEVATOR,2023Q4,borough,4496,0,0.0
ELEVATOR,2023Q4,building_age,4496,0,0.0
ELEVATOR,2023Q4,building_class,4496,0,0.0
ELEVATOR,2023Q4,days_since_2019_start,4496,0,0.0
ELEVATOR,2023Q4,distance_to_center_km,4496,0,0.0
ELEVATOR,2023Q4,gross_square_feet,4496,0,0.0
ELEVATOR,2023Q4,h3_price_lag,4496,0,0.0
ELEVATOR,2023Q4,month_cos,4496,0,0.0
ELEVATOR,2023Q4,month_sin,4496,0,0.0
ELEVATOR,2023Q4,neighborhood,4496,0,0.0
ELEVATOR,2023Q4,property_segment,4496,0,0.0
ELEVATOR,2023Q4,rate_regime_bucket,4496,0,0.0
ELEVATOR,2023Q4,residential_units,4496,2474,0.5502669039145908
ELEVATOR,2023Q4,total_units,4496,2474,0.5502669039145908
ELEVATOR,2023Q4,year_built,4496,0,0.0
ELEVATOR,2024Q1,borough,4158,0,0.0
ELEVATOR,2024Q1,building_age,4158,0,0.0
ELEVATOR,2024Q1,building_class,4158,0,0.0
ELEVATOR,2024Q1,days_since_2019_start,4158,0,0.0
ELEVATOR,2024Q1,distance_to_center_km,4158,0,0.0
ELEVATOR,2024Q1,gross_square_feet,4158,0,0.0
ELEVATOR,2024Q1,h3_price_lag,4158,0,0.0
ELEVATOR,2024Q1,month_cos,4158,0,0.0
ELEVATOR,2024Q1,month_sin,4158,0,0.0
ELEVATOR,2024Q1,neighborhood,4158,0,0.0
ELEVATOR,2024Q1,property_segment,4158,0,0.0
ELEVATOR,2024Q1,rate_regime_bucket,4158,0,0.0
ELEVATOR,2024Q1,residential_units,4158,2295,0.551948051948052
ELEVATOR,2024Q1,total_units,4158,2295,0.551948051948052
ELEVATOR,2024Q1,year_built,4158,0,0.0
ELEVATOR,2024Q2,borough,5202,0,0.0
ELEVATOR,2024Q2,building_age,5202,0,0.0
ELEVATOR,2024Q2,building_class,5202,0,0.0
ELEVATOR,2024Q2,days_since_2019_start,5202,0,0.0
ELEVATOR,2024Q2,distance_to_center_km,5202,0,0.0
ELEVATOR,2024Q2,gross_square_feet,5202,0,0.0
ELEVATOR,2024Q2,h3_price_lag,5202,0,0.0
ELEVATOR,2024Q2,month_cos,5202,0,0.0
ELEVATOR,2024Q2,month_sin,5202,0,0.0
ELEVATOR,2024Q2,neighborhood,5202,0,0.0
ELEVATOR,2024Q2,property_segment,5202,0,0.0
ELEVATOR,2024Q2,rate_regime_bucket,5202,0,0.0
ELEVATOR,2024Q2,residential_units,5202,2704,0.5198000768935025
ELEVATOR,2024Q2,total_units,5202,2704,0.5198000768935025
ELEVATOR,2024Q2,year_built,5202,0,0.0
ELEVATOR,2024Q3,borough,5130,0,0.0
ELEVATOR,2024Q3,building_age,5130,0,0.0
ELEVATOR,2024Q3,building_class,5130,0,0.0
ELEVATOR,2024Q3,days_since_2019_start,5130,0,0.0
ELEVATOR,2024Q3,distance_to_center_km,5130,0,0.0
ELEVATOR,2024Q3,gross_square_feet,5130,0,0.0
ELEVATOR,2024Q3,h3_price_lag,5130,0,0.0
ELEVATOR,2024Q3,month_cos,5130,0,0.0
ELEVATOR,2024Q3,month_sin,5130,0,0.0
ELEVATOR,2024Q3,neighborhood,5130,0,0.0
ELEVATOR,2024Q3,property_segment,5130,0,0.0
ELEVATOR,2024Q3,rate_regime_bucket,5130,0,0.0
ELEVATOR,2024Q3,residential_units,5130,2748,0.5356725146198831
ELEVATOR,2024Q3,total_units,5130,2748,0.5356725146198831
ELEVATOR,2024Q3,year_built,5130,0,0.0
ELEVATOR,2024Q4,borough,4847,0,0.0
ELEVATOR,2024Q4,building_age,4847,0,0.0
ELEVATOR,2024Q4,building_class,4847,0,0.0
ELEVATOR,2024Q4,days_since_2019_start,4847,0,0.0
ELEVATOR,2024Q4,distance_to_center_km,4847,0,0.0
ELEVATOR,2024Q4,gross_square_feet,4847,0,0.0
